"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","All cases","Age standardised rate","N/100000","2009","SE","Sweden",1.108048780,""
"Dengue","All cases","Age standardised rate","N/100000","2009","SI","Slovenia",0.193357650,""
"Dengue","All cases","Age standardised rate","N/100000","2009","SK","Slovakia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2009","UK","United Kingdom",0.005038000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","AT","Austria",0.133720760,""
"Dengue","All cases","Age standardised rate","N/100000","2010","BE","Belgium",-,""
"Dengue","All cases","Age standardised rate","N/100000","2010","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","DE","Germany",0.758409400,""
"Dengue","All cases","Age standardised rate","N/100000","2010","DK","Denmark",0.170635090,""
"Dengue","All cases","Age standardised rate","N/100000","2010","EE","Estonia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","EL","Greece",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","ES","Spain",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","EU27_21","EU (without UK)",0.384589000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","EU27_UK_21","EU (with UK until 2019)",0.334306000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","EUEEA30_21","EU/EEA (without UK)",0.384285000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",0.334078000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","FI","Finland",0.986919820,""
"Dengue","All cases","Age standardised rate","N/100000","2010","FR","France",0.941152180,""
"Dengue","All cases","Age standardised rate","N/100000","2010","HU","Hungary",0.070156170,""
"Dengue","All cases","Age standardised rate","N/100000","2010","IE","Ireland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","IT","Italy",0.087507890,""
"Dengue","All cases","Age standardised rate","N/100000","2010","LT","Lithuania",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","LU","Luxembourg",0.408114810,""
"Dengue","All cases","Age standardised rate","N/100000","2010","LV","Latvia",0.393217050,""
"Dengue","All cases","Age standardised rate","N/100000","2010","MT","Malta",0.258916900,""
"Dengue","All cases","Age standardised rate","N/100000","2010","PL","Poland",0.015040540,""
"Dengue","All cases","Age standardised rate","N/100000","2010","RO","Romania",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","SE","Sweden",1.683075190,""
"Dengue","All cases","Age standardised rate","N/100000","2010","SI","Slovenia",0.390611670,""
"Dengue","All cases","Age standardised rate","N/100000","2010","SK","Slovakia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2010","UK","United Kingdom",0.011370390,""
"Dengue","All cases","Age standardised rate","N/100000","2011","AT","Austria",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","BE","Belgium",-,""
"Dengue","All cases","Age standardised rate","N/100000","2011","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","DE","Germany",0.374474660,""
"Dengue","All cases","Age standardised rate","N/100000","2011","DK","Denmark",0.645346830,""
"Dengue","All cases","Age standardised rate","N/100000","2011","EE","Estonia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","EL","Greece",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","ES","Spain",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","EU27_21","EU (without UK)",0.152388000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","EU27_UK_21","EU (with UK until 2019)",0.134497000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","EUEEA30_21","EU/EEA (without UK)",0.152267000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",0.134405000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","FI","Finland",0.884813230,""
"Dengue","All cases","Age standardised rate","N/100000","2011","FR","France",0.087507180,""
"Dengue","All cases","Age standardised rate","N/100000","2011","HU","Hungary",0.019561350,""
"Dengue","All cases","Age standardised rate","N/100000","2011","IE","Ireland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","IT","Italy",0.073464020,""
"Dengue","All cases","Age standardised rate","N/100000","2011","LT","Lithuania",0.036309750,""
"Dengue","All cases","Age standardised rate","N/100000","2011","LU","Luxembourg",0.188239940,""
"Dengue","All cases","Age standardised rate","N/100000","2011","LV","Latvia",0.097416490,""
"Dengue","All cases","Age standardised rate","N/100000","2011","MT","Malta",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","PL","Poland",0.012833330,""
"Dengue","All cases","Age standardised rate","N/100000","2011","RO","Romania",0.009563970,""
"Dengue","All cases","Age standardised rate","N/100000","2011","SE","Sweden",1.117096200,""
"Dengue","All cases","Age standardised rate","N/100000","2011","SI","Slovenia",0.388709080,""
"Dengue","All cases","Age standardised rate","N/100000","2011","SK","Slovakia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2011","UK","United Kingdom",0.020716560,""
"Dengue","All cases","Age standardised rate","N/100000","2012","AT","Austria",0.023623720,""
"Dengue","All cases","Age standardised rate","N/100000","2012","BE","Belgium",-,""
"Dengue","All cases","Age standardised rate","N/100000","2012","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","DE","Germany",0.812259090,""
"Dengue","All cases","Age standardised rate","N/100000","2012","DK","Denmark",1.132962020,""
"Dengue","All cases","Age standardised rate","N/100000","2012","EE","Estonia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","EL","Greece",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","ES","Spain",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","EU27_21","EU (without UK)",0.311559000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",0.269405000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",0.314881000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",0.272754000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","FI","Finland",1.680317400,""
"Dengue","All cases","Age standardised rate","N/100000","2012","FR","France",0.244519350,""
"Dengue","All cases","Age standardised rate","N/100000","2012","HR","Croatia",-,""
"Dengue","All cases","Age standardised rate","N/100000","2012","HU","Hungary",0.029470390,""
"Dengue","All cases","Age standardised rate","N/100000","2012","IE","Ireland",0.151749010,""
"Dengue","All cases","Age standardised rate","N/100000","2012","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","IT","Italy",0.128030500,""
"Dengue","All cases","Age standardised rate","N/100000","2012","LT","Lithuania",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","LU","Luxembourg",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","LV","Latvia",0.365854610,""
"Dengue","All cases","Age standardised rate","N/100000","2012","MT","Malta",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2012","NO","Norway",0.605456300,""
"Dengue","All cases","Age standardised rate","N/100000","2012","PL","Poland",0.012864410,""
"Dengue","All cases","Age standardised rate","N/100000","2012","RO","Romania",0.014508270,""
"Dengue","All cases","Age standardised rate","N/100000","2012","SE","Sweden",1.911806500,""
"Dengue","All cases","Age standardised rate","N/100000","2012","SI","Slovenia",0.486515630,""
"Dengue","All cases","Age standardised rate","N/100000","2012","SK","Slovakia",0.052291890,""
"Dengue","All cases","Age standardised rate","N/100000","2012","UK","United Kingdom",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","AT","Austria",1.057270570,""
"Dengue","All cases","Age standardised rate","N/100000","2013","BE","Belgium",1.296065960,""
"Dengue","All cases","Age standardised rate","N/100000","2013","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","DE","Germany",1.152284680,""
"Dengue","All cases","Age standardised rate","N/100000","2013","DK","Denmark",1.824642920,""
"Dengue","All cases","Age standardised rate","N/100000","2013","EE","Estonia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","EL","Greece",0.008806280,""
"Dengue","All cases","Age standardised rate","N/100000","2013","ES","Spain",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","EU27_21","EU (without UK)",0.559079000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","EU27_UK_21","EU (with UK until 2019)",0.607015000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","EUEEA30_21","EU/EEA (without UK)",0.565970000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",0.612439000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","FI","Finland",1.578219330,""
"Dengue","All cases","Age standardised rate","N/100000","2013","FR","France",0.723442310,""
"Dengue","All cases","Age standardised rate","N/100000","2013","HR","Croatia",0.072394600,""
"Dengue","All cases","Age standardised rate","N/100000","2013","HU","Hungary",0.100593150,""
"Dengue","All cases","Age standardised rate","N/100000","2013","IE","Ireland",0.343072620,""
"Dengue","All cases","Age standardised rate","N/100000","2013","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","IT","Italy",0.250786680,""
"Dengue","All cases","Age standardised rate","N/100000","2013","LT","Lithuania",0.030697850,""
"Dengue","All cases","Age standardised rate","N/100000","2013","LU","Luxembourg",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","LV","Latvia",0.351954160,""
"Dengue","All cases","Age standardised rate","N/100000","2013","MT","Malta",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2013","NO","Norway",1.156430160,""
"Dengue","All cases","Age standardised rate","N/100000","2013","PL","Poland",0.033887510,""
"Dengue","All cases","Age standardised rate","N/100000","2013","RO","Romania",0.029640350,""
"Dengue","All cases","Age standardised rate","N/100000","2013","SE","Sweden",2.386903720,""
"Dengue","All cases","Age standardised rate","N/100000","2013","SI","Slovenia",0.405788970,""
"Dengue","All cases","Age standardised rate","N/100000","2013","SK","Slovakia",0.068823990,""
"Dengue","All cases","Age standardised rate","N/100000","2013","UK","United Kingdom",0.911854770,""
"Dengue","All cases","Age standardised rate","N/100000","2014","AT","Austria",1.088173490,""
"Dengue","All cases","Age standardised rate","N/100000","2014","BE","Belgium",1.026813800,""
"Dengue","All cases","Age standardised rate","N/100000","2014","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","DE","Germany",0.835369010,""
"Dengue","All cases","Age standardised rate","N/100000","2014","DK","Denmark",1.164206860,""
"Dengue","All cases","Age standardised rate","N/100000","2014","EE","Estonia",0.703293500,""
"Dengue","All cases","Age standardised rate","N/100000","2014","EL","Greece",0.036557820,""
"Dengue","All cases","Age standardised rate","N/100000","2014","ES","Spain",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","EU27_21","EU (without UK)",-,""
"Dengue","All cases","Age standardised rate","N/100000","2014","EU27_UK_21","EU (with UK until 2019)",0.398161000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","EUEEA30_21","EU/EEA (without UK)",0.378445000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","EUEEAUK_21","EU/EEA (with UK until 2019)",0.409168000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","FI","Finland",0.755549590,""
"Dengue","All cases","Age standardised rate","N/100000","2014","FR","France",-,""
"Dengue","All cases","Age standardised rate","N/100000","2014","HR","Croatia",0.046968350,""
"Dengue","All cases","Age standardised rate","N/100000","2014","HU","Hungary",0.060402660,""
"Dengue","All cases","Age standardised rate","N/100000","2014","IE","Ireland",0.456335400,""
"Dengue","All cases","Age standardised rate","N/100000","2014","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","IT","Italy",0.141384790,""
"Dengue","All cases","Age standardised rate","N/100000","2014","LT","Lithuania",0.091690580,""
"Dengue","All cases","Age standardised rate","N/100000","2014","LU","Luxembourg",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","LV","Latvia",0.053079740,""
"Dengue","All cases","Age standardised rate","N/100000","2014","MT","Malta",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","NL","Netherlands",-,""
"Dengue","All cases","Age standardised rate","N/100000","2014","NO","Norway",1.450742390,""
"Dengue","All cases","Age standardised rate","N/100000","2014","PL","Poland",0.038329810,""
"Dengue","All cases","Age standardised rate","N/100000","2014","RO","Romania",0.029412360,""
"Dengue","All cases","Age standardised rate","N/100000","2014","SE","Sweden",1.289392590,""
"Dengue","All cases","Age standardised rate","N/100000","2014","SI","Slovenia",0.091473200,""
"Dengue","All cases","Age standardised rate","N/100000","2014","SK","Slovakia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2014","UK","United Kingdom",0.606080790,""
"Dengue","All cases","Age standardised rate","N/100000","2015","AT","Austria",1.226197820,""
"Dengue","All cases","Age standardised rate","N/100000","2015","BE","Belgium",1.021313100,""
"Dengue","All cases","Age standardised rate","N/100000","2015","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2015","DE","Germany",0.964003390,""
"Dengue","All cases","Age standardised rate","N/100000","2015","DK","Denmark",1.568116060,""
"Dengue","All cases","Age standardised rate","N/100000","2015","EE","Estonia",0.930525330,""
"Dengue","All cases","Age standardised rate","N/100000","2015","EL","Greece",0.021212910,""
"Dengue","All cases","Age standardised rate","N/100000","2015","ES","Spain",0.334407180,""
"Dengue","All cases","Age standardised rate","N/100000","2015","EU27_21","EU (without UK)",0.475184000,""
"Dengue","All cases","Age standardised rate","N/100000","2015","EU27_UK_21","EU (with UK until 2019)",0.502224000,""
"Dengue","All cases","Age standardised rate","N/100000","2015","EUEEA30_21","EU/EEA (without UK)",0.492874000,""
"Dengue","All cases","Age standardised rate","N/100000","2015","EUEEAUK_21","EU/EEA (with UK until 2019)",0.517238000,""
"Dengue","All cases","Age standardised rate","N/100000","2015","FI","Finland",1.075400420,""
"Dengue","All cases","Age standardised rate","N/100000","2015","FR","France",0.450262920,""
"Dengue","All cases","Age standardised rate","N/100000","2015","HU","Hungary",0.119427280,""
"Dengue","All cases","Age standardised rate","N/100000","2015","IE","Ireland",0.172570360,""
"Dengue","All cases","Age standardised rate","N/100000","2015","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2015","IT","Italy",0.179888920,""
"Dengue","All cases","Age standardised rate","N/100000","2015","LT","Lithuania",0.318252670,""
"Dengue","All cases","Age standardised rate","N/100000","2015","LU","Luxembourg",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2015","LV","Latvia",0.214005380,""
"Dengue","All cases","Age standardised rate","N/100000","2015","MT","Malta",0.229265810,""
"Dengue","All cases","Age standardised rate","N/100000","2015","NL","Netherlands",-,""
"Dengue","All cases","Age standardised rate","N/100000","2015","NO","Norway",1.941835380,""
"Dengue","All cases","Age standardised rate","N/100000","2015","PL","Poland",0.030711730,""
"Dengue","All cases","Age standardised rate","N/100000","2015","PT","Portugal",0.134310680,""
"Dengue","All cases","Age standardised rate","N/100000","2015","RO","Romania",0.035124060,""
"Dengue","All cases","Age standardised rate","N/100000","2015","SE","Sweden",1.714216710,""
"Dengue","All cases","Age standardised rate","N/100000","2015","SI","Slovenia",0.157505760,""
"Dengue","All cases","Age standardised rate","N/100000","2015","SK","Slovakia",0.034174250,""
"Dengue","All cases","Age standardised rate","N/100000","2015","UK","United Kingdom",0.674816630,""
"Dengue","All cases","Age standardised rate","N/100000","2016","AT","Austria",1.361205640,""
"Dengue","All cases","Age standardised rate","N/100000","2016","BE","Belgium",1.051590280,""
"Dengue","All cases","Age standardised rate","N/100000","2016","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2016","DE","Germany",1.278722960,""
"Dengue","All cases","Age standardised rate","N/100000","2016","DK","Denmark",1.540859900,""
"Dengue","All cases","Age standardised rate","N/100000","2016","EE","Estonia",0.693291790,""
"Dengue","All cases","Age standardised rate","N/100000","2016","EL","Greece",0.020058990,""
"Dengue","All cases","Age standardised rate","N/100000","2016","ES","Spain",0.552658590,""
"Dengue","All cases","Age standardised rate","N/100000","2016","EU27_21","EU (without UK)",0.618699000,""
"Dengue","All cases","Age standardised rate","N/100000","2016","EU27_UK_21","EU (with UK until 2019)",0.636191000,""
"Dengue","All cases","Age standardised rate","N/100000","2016","EUEEA30_21","EU/EEA (without UK)",0.626076000,""
"Dengue","All cases","Age standardised rate","N/100000","2016","EUEEAUK_21","EU/EEA (with UK until 2019)",0.642386000,""
"Dengue","All cases","Age standardised rate","N/100000","2016","FI","Finland",1.329326540,""
"Dengue","All cases","Age standardised rate","N/100000","2016","FR","France",0.596342170,""
"Dengue","All cases","Age standardised rate","N/100000","2016","HR","Croatia",-,""
"Dengue","All cases","Age standardised rate","N/100000","2016","HU","Hungary",0.246726670,""
"Dengue","All cases","Age standardised rate","N/100000","2016","IE","Ireland",0.384600710,""
"Dengue","All cases","Age standardised rate","N/100000","2016","IS","Iceland",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2016","IT","Italy",0.187205940,""
"Dengue","All cases","Age standardised rate","N/100000","2016","LT","Lithuania",0.138601830,""
"Dengue","All cases","Age standardised rate","N/100000","2016","LU","Luxembourg",0.161449420,""
"Dengue","All cases","Age standardised rate","N/100000","2016","LV","Latvia",0.481186770,""
"Dengue","All cases","Age standardised rate","N/100000","2016","MT","Malta",0.218219510,""
"Dengue","All cases","Age standardised rate","N/100000","2016","NL","Netherlands",-,""
"Dengue","All cases","Age standardised rate","N/100000","2016","NO","Norway",1.259071080,""
"Dengue","All cases","Age standardised rate","N/100000","2016","PL","Poland",0.104769550,""
"Dengue","All cases","Age standardised rate","N/100000","2016","PT","Portugal",0.134079540,""
"Dengue","All cases","Age standardised rate","N/100000","2016","RO","Romania",0.041736250,""
"Dengue","All cases","Age standardised rate","N/100000","2016","SE","Sweden",2.405156300,""
"Dengue","All cases","Age standardised rate","N/100000","2016","SI","Slovenia",0.307527150,""
"Dengue","All cases","Age standardised rate","N/100000","2016","SK","Slovakia",0.071891710,""
"Dengue","All cases","Age standardised rate","N/100000","2016","UK","United Kingdom",0.748352460,""
"Dengue","All cases","Age standardised rate","N/100000","2017","AT","Austria",0.972632980,""
"Dengue","All cases","Age standardised rate","N/100000","2017","BE","Belgium",0.711386530,""
"Dengue","All cases","Age standardised rate","N/100000","2017","CZ","Czechia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2017","DE","Germany",0.813364910,""
"Dengue","All cases","Age standardised rate","N/100000","2017","DK","Denmark",1.341006770,""
"Dengue","All cases","Age standardised rate","N/100000","2017","EE","Estonia",0.627656600,""
"Dengue","All cases","Age standardised rate","N/100000","2017","EL","Greece",0.010229940,""
"Dengue","All cases","Age standardised rate","N/100000","2017","ES","Spain",0.279411680,""
"Dengue","All cases","Age standardised rate","N/100000","2017","EU27_21","EU (without UK)",0.399753000,""
"Dengue","All cases","Age standardised rate","N/100000","2017","EU27_UK_21","EU (with UK until 2019)",0.445125000,""
"Dengue","All cases","Age standardised rate","N/100000","2017","EUEEA30_21","EU/EEA (without UK)",0.403237000,""
"Dengue","All cases","Age standardised rate","N/100000","2017","EUEEAUK_21","EU/EEA (with UK until 2019)",0.447626000,""
"Dengue","All cases","Age standardised rate","N/100000","2017","FI","Finland",0.483467120,""
"Dengue","All cases","Age standardised rate","N/100000","2017","FR","France",0.425254100,""
"Dengue","All cases","Age standardised rate","N/100000","2017","HR","Croatia",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2017","HU","Hungary",0.175318550,""
"Dengue","All cases","Age standardised rate","N/100000","2017","IE","Ireland",0.218030380,""
"Dengue","All cases","Age standardised rate","N/100000","2017","IS","Iceland",0.270136610,""
"Dengue","All cases","Age standardised rate","N/100000","2017","IT","Italy",0.167113100,""
"Dengue","All cases","Age standardised rate","N/100000","2017","LT","Lithuania",0.149266150,""
"Dengue","All cases","Age standardised rate","N/100000","2017","LU","Luxembourg",0.000000000,""
"Dengue","All cases","Age standardised rate","N/100000","2017","LV","Latvia",0.694633940,""
"Dengue","All cases","Age standardised rate","N/100000","2017","MT","Malta",0.636851790,""
"Dengue","All cases","Age standardised rate","N/100000","2017","NL","Netherlands",-,""
"Dengue","All cases","Age standardised rate","N/100000","2017","NO","Norway",0.690010870,""
"Dengue","All cases","Age standardised rate","N/100000","2017","PL","Poland",0.074372100,""
"Dengue","All cases","Age standardised rate","N/100000","2017","PT","Portugal",0.109348260,""
"Dengue","All cases","Age standardised rate","N/100000","2017","RO","Romania",0.037134990,""
"Dengue","All cases","Age standardised rate","N/100000","2017","SE","Sweden",1.112673740,""
"Dengue","All cases","Age standardised rate","N/100000","2017","SI","Slovenia",0.265414110,""
"Dengue","All cases","Age standardised rate","N/100000","2017","SK","Slovakia",0.034388670,""
"Dengue","All cases","Age standardised rate","N/100000","2017","UK","United Kingdom",0.734451690,""
"Dengue","All cases","Age standardised rate","N/100000","2018","AT","Austria",0.977006940,""
"Dengue","All cases","Age standardised rate","N/100000","2018","BE","Belgium",0.928638030,""
"Dengue","All cases","Age standardised rate","N/100000","2018","CZ","Czechia",0.355317700,""
"Dengue","All cases","Age standardised rate","N/100000","2018","DE","Germany",0.799191900,""
"Dengue","All cases","Age standardised rate","N/100000","2018","DK","Denmark",1.150679180,""
"Dengue","All cases","Age standardised rate","N/100000","2018","EE","Estonia",0.460040970,""
"Dengue","All cases","Age standardised rate","N/100000","2018","EL","Greece",0.020717300,""
"Dengue","All cases","Age standardised rate","N/100000","2018","ES","Spain",0.456578260,""
"Dengue","All cases","Age standardised rate","N/100000","2018","EU27_21","EU (without UK)",0.460900000,""
"Dengue","All cases","Age standardised rate","N/100000","2018","EU27_UK_21","EU (with UK until 2019)",0.491306000,""
"Dengue","All cases","Age standardised rate","N/100000","2018","EUEEA30_21","EU/EEA (without UK)",0.466761000,""
"Dengue","All cases","Age standardised rate","N/100000","2018","EUEEAUK_21","EU/EEA (with UK until 2019)",0.496030000,""
"Dengue","All cases","Age standardised rate","N/100000","2018","FI","Finland",1.109118710,""
"Dengue","All cases","Age standardised rate","N/100000","2018","FR","France",0.525558970,""
"Dengue","All cases","Age standardised rate","N/100000","2018","HR","Croatia",0.056970410,""
"Dengue","All cases","Age standardised rate","N/100000","2018","HU","Hungary",0.140738550,""
"Dengue","All cases","Age standardised rate","N/100000","2018","IE","Ireland",0.344316570,""
"Dengue","All cases","Age standardised rate","N/100000","2018","IS","Iceland",0.267205390,""
"Dengue","All cases","Age standardised rate","N/100000","2018","IT","Italy",0.194951960,""
"Dengue","All cases","Age standardised rate","N/100000","2018","LT","Lithuania",0.301918890,""
"Dengue","All cases","Age standardised rate","N/100000","2018","LU","Luxembourg",0.153242180,""
"Dengue","All cases","Age standardised rate","N/100000","2018","LV","Latvia",0.681547030,""
"Dengue","All cases","Age standardised rate","N/100000","2018","MT","Malta",0.196497720,""
"Dengue","All cases","Age standardised rate","N/100000","2018","NL","Netherlands",-,""
"Dengue","All cases","Age standardised rate","N/100000","2018","NO","Norway",0.945309750,""
